time,phase,z_tof_real,z_tof_reported,z_est,vz_est,vz_cmd,x_tag,y_tag,x_est,y_est,tag_visible,kf_mode
1.1920928955078125e-05,approach,0.82,0.82,0.82,0.0,0.3,1.399108848807841,-0.05382083035348517,1.399108848807841,-0.05382083035348517,True,normal
0.10761690139770508,approach,0.82,0.82,0.82,0.0,0.3,1.396704369016816,-0.05223355489562101,1.396704369016816,-0.05223355489562101,True,normal
0.2196197509765625,approach,0.82,0.82,0.82,0.0,0.3,1.4043824159235332,-0.04988658722293043,1.4043824159235332,-0.04988658722293043,True,normal
0.3328108787536621,approach,0.83,0.83,0.8268111590255101,0.0287542832996885,0.3,1.4039847327716435,-0.047045681632266446,1.4039847327716435,-0.047045681632266446,True,normal
0.4430537223815918,approach,0.84,0.84,0.8358015573116002,0.04910058434308505,0.3,1.411654225068082,-0.04411306174738159,1.411654225068082,-0.04411306174738159,True,normal
0.5570218563079834,approach,0.85,0.85,0.8455671743239244,0.062485890591051634,0.3,1.4195461334775863,-0.03844282652310184,1.4195461334775863,-0.03844282652310184,True,normal
0.6698439121246338,approach,0.88,0.88,0.864996879808586,0.09376487852523177,0.3,1.4243082380197634,-0.032788312563728696,1.4243082380197634,-0.032788312563728696,True,normal
0.7826178073883057,approach,0.9,0.9,0.8852491410646265,0.11669201904636153,0.3,1.4370732048965429,-0.0273021377117242,1.4370732048965429,-0.0273021377117242,True,normal
0.8954229354858398,approach,0.9,0.9,0.8981212740439607,0.11900699076258062,0.3,1.442513538505442,-0.023905606005230198,1.442513538505442,-0.023905606005230198,True,normal
1.006286859512329,approach,0.94,0.94,0.9209241115252633,0.1386227100872465,0.3,1.4568946647991552,-0.015829182381034614,1.4568946647991552,-0.015829182381034614,True,normal
1.1190037727355957,approach,0.96,0.96,0.9434332478416,0.1534706846581149,0.3,1.4669419075232666,-0.011362076909897757,1.4669419075232666,-0.011362076909897757,True,normal
1.2321357727050781,approach,0.98,0.98,0.9657208189850499,0.16503873405018588,0.3,1.474410238742293,-0.0046214308638373065,1.474410238742293,-0.0046214308638373065,True,normal
1.3423049449920654,approach,1.0,1.0,0.9878271347370262,0.17422132895027778,0.3,1.4746507496699675,0.0005697591162752215,1.4746507496699675,0.0005697591162752215,True,normal
1.4516270160675049,approach,1.02,1.02,1.0097702483483324,0.1815757804602094,0.3,1.4837143291896628,0.005273315539435175,1.4837143291896628,0.005273315539435175,True,normal
1.5644779205322266,approach,1.04,1.04,1.0315536657564568,0.18746442715347156,0.3,1.4840809048765584,0.01092552811903454,1.4840809048765584,0.01092552811903454,True,normal
1.6764748096466064,approach,1.05,1.05,1.0502112271021757,0.1873198439381537,0.3,1.4832025360769299,0.01350958120744225,1.4832025360769299,0.01350958120744225,True,normal
1.7908358573913574,approach,1.08,1.08,1.0721877441883159,0.19261350048359338,0.3,1.4858443211779269,0.015655875719180597,1.4858443211779269,0.015655875719180597,True,normal
1.9015657901763916,approach,1.1,1.1,1.0939439398475435,0.19669697103159006,0.3,1.4861417225889828,0.01629893450708011,1.4861417225889828,0.01629893450708011,True,normal
2.0116398334503174,approach,1.13,1.13,1.1183786854622935,0.20451774328986536,0.3,1.483763614381463,0.016354992083143994,1.483763614381463,0.016354992083143994,True,normal
2.123626947402954,approach,1.15,1.15,1.142072720763438,0.20985030529653975,0.3,1.4845942012310767,0.015563993429028375,1.4845942012310767,0.015563993429028375,True,normal
2.234006881713867,approach,1.17,1.17,1.1650712210781702,0.2131665237628947,0.3,1.483004647800495,0.014927445244701762,1.483004647800495,0.014927445244701762,True,normal
2.346029758453369,approach,1.19,1.19,1.1874351478119702,0.21489283632481881,0.3,1.481146694778023,0.014034271516875868,1.481146694778023,0.014034271516875868,True,normal
2.4569637775421143,approach,1.21,1.21,1.2092362432118315,0.2154070309343138,0.3,1.4825999422588207,0.012283978236559218,1.4825999422588207,0.012283978236559218,True,normal
2.5693278312683105,approach,1.23,1.23,1.23055170908998,0.21503555652408618,0.3,1.482482715773821,0.010728692023929173,1.482482715773821,0.010728692023929173,True,normal
2.6808969974517822,approach,1.25,1.25,1.2514594432484738,0.21405293153814536,0.3,1.4839304667213757,0.009108464843237202,1.4839304667213757,0.009108464843237202,True,normal
2.790343761444092,approach,1.26,1.26,1.2691353277055988,0.20790312912903108,0.3,1.484478472698155,0.007140333023959816,1.484478472698155,0.007140333023959816,True,normal
2.904824733734131,approach,1.28,1.28,1.2870483897234346,0.20315918558847276,0.3,1.48872934796983,0.005790595412215936,1.48872934796983,0.005790595412215936,True,normal
3.0142977237701416,approach,1.29,1.29,1.3023310511753006,0.1948615118965054,0.3,1.4999359681720534,0.004239861162114786,1.4999359681720534,0.004239861162114786,True,normal
3.127258777618408,approach,1.32,1.32,1.3212905015200112,0.19399329583855843,0.3,1.4940382860203518,0.003304681340412864,1.4940382860203518,0.003304681340412864,True,normal
3.238304853439331,approach,1.35,1.32,1.3212905015200112,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,normal
3.347637891769409,approach,1.36,1.32,1.3212905015200112,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,normal
3.460085868835449,blind_nav,1.38,1.88,1.340689831103867,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
3.5706937313079834,blind_nav,1.4,1.9,1.360089160687723,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
3.683764934539795,blind_nav,1.41,1.91,1.379488490271579,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
3.7967708110809326,blind_nav,1.44,1.94,1.3988878198554349,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
3.9076716899871826,blind_nav,1.47,1.97,1.4182871494392908,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.020351886749268,blind_nav,1.47,1.97,1.4376864790231467,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.1312079429626465,blind_nav,1.5,2.0,1.4570858086070027,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.2409727573394775,blind_nav,1.52,2.02,1.4764851381908586,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.352999925613403,blind_nav,1.54,2.04,1.4958844677747145,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.462822914123535,blind_nav,1.56,2.06,1.5152837973585704,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.571806907653809,blind_nav,1.57,2.0700000000000003,1.5346831269424264,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.680980920791626,blind_nav,1.59,2.09,1.5540824565262823,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.794511795043945,blind_nav,1.6,2.1,1.5734817861101382,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
4.904974699020386,blind_nav,1.63,2.13,1.5928811156939942,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.016993761062622,blind_nav,1.64,2.1399999999999997,1.61228044527785,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.129774808883667,blind_nav,1.67,2.17,1.631679774861706,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.240979909896851,blind_nav,1.69,2.19,1.651079104445562,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.353771924972534,blind_nav,1.7,2.2,1.6704784340294179,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.466936826705933,blind_nav,1.71,2.21,1.6898777636132738,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.576525688171387,blind_nav,1.74,2.24,1.7092770931971297,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.6858696937561035,blind_nav,1.76,2.26,1.7286764227809857,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.795426845550537,blind_nav,1.78,2.2800000000000002,1.7480757523648416,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
5.904980897903442,blind_nav,1.8,2.3,1.7674750819486975,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
6.019256830215454,blind_nav,1.82,2.3200000000000003,1.7868744115325534,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
6.132457971572876,blind_nav,1.83,2.33,1.8062737411164094,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
6.245513916015625,blind_nav,1.88,2.38,1.8256730707002653,0.19399329583855843,0.3,,,1.4940382860203518,0.003304681340412864,False,prediction
6.3594348430633545,blind_nav,1.89,2.3899999999999997,1.8450724002841212,0.19399329583855843,0.29471741987214545,,,1.4940382860203518,0.003304681340412864,False,prediction
6.470434665679932,blind_nav,1.92,2.42,1.8644717298679772,0.19399329583855843,0.28598772155941027,,,1.4940382860203518,0.003304681340412864,False,prediction
6.583395719528198,blind_nav,1.93,2.4299999999999997,1.883871059451833,0.19399329583855843,0.27725802324667514,,,1.4940382860203518,0.003304681340412864,False,prediction
6.69325590133667,blind_nav,1.96,2.46,1.903270389035689,0.19399329583855843,0.26852832493393997,,,1.4940382860203518,0.003304681340412864,False,prediction
6.80498480796814,blind_nav,1.98,2.48,1.922669718619545,0.19399329583855843,0.2597986266212048,,,1.4940382860203518,0.003304681340412864,False,prediction
6.91792106628418,blind_nav,2.02,2.52,1.9420690482034009,0.19399329583855843,0.2510689283084696,,,1.4940382860203518,0.003304681340412864,False,prediction
7.0263848304748535,blind_nav,2.02,2.52,1.9614683777872568,0.19399329583855843,0.24233922999573446,,,1.4940382860203518,0.003304681340412864,False,prediction
7.139842748641968,blind_nav,2.03,2.53,1.9808677073711127,0.19399329583855843,0.23360953168299928,,,1.4940382860203518,0.003304681340412864,False,prediction
7.248982906341553,blind_nav,2.05,2.55,2.0002670369549684,0.19399329583855843,0.2248798333702642,,,1.4940382860203518,0.003304681340412864,False,prediction
7.3625407218933105,blind_nav,2.08,2.58,2.019666366538824,0.19399329583855843,0.21615013505752914,,,1.4940382860203518,0.003304681340412864,False,prediction
7.471123933792114,blind_nav,2.11,2.61,2.03906569612268,0.19399329583855843,0.20742043674479407,,,1.4940382860203518,0.003304681340412864,False,prediction
7.583963871002197,blind_nav,2.12,2.62,2.0584650257065356,0.19399329583855843,0.198690738432059,,,1.4940382860203518,0.003304681340412864,False,prediction
7.694464921951294,blind_nav,2.14,2.64,2.0778643552903913,0.19399329583855843,0.18996104011932394,,,1.4940382860203518,0.003304681340412864,False,prediction
7.80774188041687,blind_nav,2.15,2.65,2.097263684874247,0.19399329583855843,0.18123134180658887,,,1.4940382860203518,0.003304681340412864,False,prediction
7.918327808380127,blind_nav,2.17,2.67,2.1166630144581027,0.19399329583855843,0.1725016434938538,,,1.4940382860203518,0.003304681340412864,False,prediction
8.031263828277588,blind_nav,2.2,2.7,2.1360623440419584,0.19399329583855843,0.16377194518111873,,,1.4940382860203518,0.003304681340412864,False,prediction
8.142330884933472,blind_nav,2.2,2.7,2.155461673625814,0.19399329583855843,0.15504224686838367,,,1.4940382860203518,0.003304681340412864,False,prediction
8.251673698425293,blind_nav,2.2,2.7,2.17486100320967,0.19399329583855843,0.1463125485556486,,,1.4940382860203518,0.003304681340412864,False,prediction
8.366641759872437,blind_nav,2.23,2.73,2.1942603327935255,0.19399329583855843,0.13758285024291353,,,1.4940382860203518,0.003304681340412864,False,prediction
8.47834587097168,blind_nav,2.24,2.74,2.213659662377381,0.19399329583855843,0.12885315193017846,,,1.4940382860203518,0.003304681340412864,False,prediction
8.58877682685852,blind_nav,2.24,2.74,2.233058991961237,0.19399329583855843,0.1201234536174434,,,1.4940382860203518,0.003304681340412864,False,prediction
8.701830863952637,blind_nav,2.26,2.76,2.2524583215450926,0.19399329583855843,0.11139375530470833,,,1.4940382860203518,0.003304681340412864,False,prediction
8.81178593635559,blind_nav,2.28,2.78,2.2718576511289483,0.19399329583855843,0.10266405699197326,,,1.4940382860203518,0.003304681340412864,False,prediction
8.923671007156372,blind_nav,2.27,2.77,2.291256980712804,0.19399329583855843,0.09393435867923819,,,1.4940382860203518,0.003304681340412864,False,prediction
9.03567385673523,blind_nav,2.28,2.78,2.3106563102966597,0.19399329583855843,0.08520466036650312,,,1.4940382860203518,0.003304681340412864,False,prediction
9.14884877204895,blind_nav,2.31,2.81,2.3300556398805155,0.19399329583855843,0.07647496205376805,,,1.4940382860203518,0.003304681340412864,False,prediction
9.259704828262329,blind_nav,2.31,2.81,2.349454969464371,0.19399329583855843,0.06774526374103298,,,1.4940382860203518,0.003304681340412864,False,prediction
9.371670007705688,blind_nav,2.31,2.81,2.368854299048227,0.19399329583855843,0.05901556542829791,,,1.4940382860203518,0.003304681340412864,False,prediction
9.479472875595093,blind_nav,2.34,2.84,2.3882536286320826,0.19399329583855843,0.05028586711556284,,,1.4940382860203518,0.003304681340412864,False,prediction
9.591348886489868,blind_nav,2.34,2.84,2.4076529582159383,0.19399329583855843,0.041556168802827774,,,1.4940382860203518,0.003304681340412864,False,prediction
9.702332973480225,blind_nav,2.33,2.83,2.427052287799794,0.19399329583855843,0.032826470490092706,,,1.4940382860203518,0.003304681340412864,False,prediction
9.812110900878906,blind_nav,2.34,2.84,2.4464516173836497,0.19399329583855843,0.02409677217735764,,,1.4940382860203518,0.003304681340412864,False,prediction
